customer_id,name,email,phone,location,signup_date,is_premium,preferred_cuisine,total_orders,average_rating
1,Tanay Vig,bajajurvi@example.org,04256090435,"942, Chaudhari ChowkHaldia 730999",2025-06-02,1,Mexican,14,3.5
2,Xavier Raju,ishwarjayaraman@example.com,5249148398,"H.No. 207, Sani Circle, Dibrugarh-583864",2024-04-19,0,Mexican,32,3.5
3,Gautami Tella,robertbrar@example.com,05927371744,"H.No. 845, Dash Marg
Ichalkaranji-073107",2025-11-08,1,Chinese,1,4.8
4,Zashil Buch,frederickmanne@example.net,04984203459,"H.No. 81, Amble Nagar, Siwan 505672",2025-07-20,1,Mexican,46,3.9
5,Vinaya Wali,bavapriya@example.com,07739625207,"H.No. 572
Thakur Road, Khammam 591465",2024-09-05,0,Chinese,5,3.7
6,Jasmit Mani,gbhatt@example.com,5330515931,"H.No. 642, Zachariah Path, Deoghar 909405",2024-09-03,0,Chinese,33,4.1
7,Bakhshi Chauhan,ranbirkadakia@example.org,+919999885640,"38/01
Krishna Path, Kurnool 166938",2025-06-19,1,Chinese,44,4.6
8,Samar Rajagopal,kacharya@example.org,4798847746,"20, Kapoor Zila, Malda 726379",2025-10-18,1,Thai,6,3.5
9,Balhaar D’Alia,mekhalachand@example.net,+912720176816,"H.No. 15, Rama Nagar
Mahbubnagar-858160",2024-10-27,0,Indian,6,3.1
10,Turvi Ratta,wyatt01@example.net,07211746891,"91/517, Batta Chowk
Sonipat-636348",2026-03-08,1,Chinese,40,4.6
11,Shaurya Kunda,bhavna66@example.com,2678501972,"H.No. 835
Sankaran, Raiganj 216763",2024-10-14,1,Indian,31,4.5
12,Jairaj Tata,utkarsh25@example.com,08116209190,"58/13, Uppal Street, Bhubaneswar 119201",2024-10-18,0,Chinese,36,4.8
13,Viraj Dugar,kallaaradhana@example.com,02600002991,"H.No. 969
Mittal Nagar, Mirzapur-834180",2026-02-24,1,Indian,45,4.9
14,Teerth Bhakta,sawhneychakradhar@example.com,8493420084,"H.No. 683, Manne Zila
Hubli–Dharwad 533614",2025-12-08,1,Mexican,5,4.9
15,Sudiksha Gala,golayamini@example.net,7476122013,"61, Hans Path, Bharatpur 245114",2025-11-17,1,Mexican,29,4.3
16,Ekalinga Chand,shanforum@example.org,01330016049,"37
Gandhi Street
Ozhukarai 438251",2026-01-22,1,Indian,37,3.4
17,Ubika Bhatt,wallanilima@example.net,3511278998,"H.No. 62
Basak Path, Bilaspur 855900",2025-11-04,1,Chinese,7,3.1
18,Joshua Walla,qadim24@example.org,07215464570,"H.No. 444
Prasad Ganj, Thoothukudi-972556",2024-06-13,1,Indian,0,3.2
19,Alka Babu,garima54@example.com,07288402024,"H.No. 764, Chanda Marg
Rampur 438186",2024-07-21,1,Mexican,31,3.6
20,Zayyan Chhabra,walioliver@example.com,04716374966,"94/541
Borra Zila
Unnao-723508",2025-08-20,1,Italian,23,4.6
21,Ishanvi Saha,cdeep@example.net,04198363648,"H.No. 227
Bose Road, Jorhat-920816",2025-10-18,0,Italian,20,3.2
22,Kiaan Sule,ebail@example.net,4964036950,"17/65
Kota Ganj, Alappuzha-655327",2024-10-11,1,Italian,34,3.1
23,Jeremiah Manne,trivenidubey@example.net,2178170613,"80/408
Keer Path, Ahmednagar 510953",2024-05-31,0,Mexican,45,4.7
24,Chasmum Dada,jaggijanani@example.org,+919933514279,"H.No. 448
Hari, Meerut 206499",2024-12-04,1,Italian,40,4.9
25,Abdul Swamy,devansh64@example.net,1535054082,"972, Anne Street, Kurnool-823803",2025-06-30,0,Chinese,1,4.7
26,Pavani Butala,hredhaan81@example.org,04539343859,"55, Bhakta Zila
Loni 502019",2025-02-23,1,Indian,23,3.6
27,Adya Boase,samuelpurohit@example.com,09878341462,"48, Goel Ganj, Junagadh-002318",2025-07-23,0,Thai,2,3.4
28,Chandresh Pingle,viswanathanhemal@example.com,06704222610,"89/09
Bali Path
Adoni-775193",2025-01-09,1,Thai,43,4.8
29,Harita Deo,gaurirau@example.net,06550174107,"26/370
Kohli Street, Katni 106927",2025-09-07,1,Indian,46,3.8
30,Yashoda Randhawa,biswasisaac@example.net,+914053401358,"84/559
Verma Marg
Rajahmundry-082744",2026-04-15,1,Thai,23,4.8
31,Aayush Jhaveri,tamannakade@example.com,03506791118,"H.No. 35
Balan Nagar
Hapur 901524",2025-11-01,1,Italian,35,3.5
32,Jalsa Chaudry,sbhatt@example.com,7377495271,"H.No. 82, Din Street
Kakinada-487782",2024-09-22,1,Mexican,9,4.0
33,Agastya Acharya,wjohal@example.com,+917825246353,"98/003, Konda Ganj
Loni-064244",2024-12-01,1,Italian,19,3.8
34,Falan Arya,jhaaayush@example.com,0375376786,"H.No. 74
Sachar Ganj, Berhampore 195012",2024-10-24,0,Chinese,27,4.7
35,Wriddhish Varughese,theodore82@example.net,03055214758,"35
Gour Street, Jabalpur 310859",2026-01-20,0,Chinese,24,4.5
36,Ekbal Brahmbhatt,liamvyas@example.net,08497384897,"076, Jain Circle
Sangli-Miraj & Kupwad 999371",2024-08-08,0,Mexican,40,4.0
37,Warda Bava,ikshita79@example.org,04134221506,"44/354
Sethi Marg, Bharatpur-960283",2025-12-04,1,Mexican,13,4.4
38,Viraj Mitra,tanmayi37@example.com,+914470751541,"H.No. 81, Warrior Circle, Mirzapur-484479",2024-09-30,1,Mexican,13,3.6
39,Geetika Ghose,krish17@example.com,5799546322,"20/49
Mani Marg
Aligarh-953671",2025-09-03,0,Italian,18,4.4
40,Adweta Ramakrishnan,ksrivastava@example.com,06257907144,"53/119
Raman Chowk, Panchkula-873078",2026-03-20,0,Chinese,8,4.4
41,Yashodhara Manne,adya68@example.com,+911887751991,"56/58, Halder, Jorhat-131306",2025-10-02,1,Italian,0,3.1
42,Hredhaan Bora,wriddhishpanchal@example.net,8555241925,"H.No. 094
Garg Road
Ujjain-971612",2025-04-07,1,Thai,50,4.0
